Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
329,x5623z,0.7597597597597597,0.1825670402380203,55.732861,12.38663,[0.7597597597597597],1,50,50
47,5nykwy,0.5791907514450867,0.2437851914038062,55.858522,9.851593,[0.5791907514450867],1,75,75
196,jq8xwm,0.5573961735884274,0.2467632535116097,55.723784,9.58365,[0.5573961735884274],1,50,50
12,2j72qy,0.5407245039224735,0.1507182379546926,55.6146,12.3552,"[0.5385325334563913, 0.5429164743885556]",2,43,50
214,kj9rwe,0.5364607524384579,0.1194600840574128,55.626754,12.575313,"[0.41407338597306087, 0.6588481189038551]",2,43,50
275,qk7jyq,0.5121426911457123,0.0736662992532859,55.489341,12.161393,"[0.5177782942133395, 0.4991866139902394, 0.4782709737392517, 0.4945386939344643, 0.4926795259121543, 0.5205670462468046, 0.56983499883802, 0.49151754589821056, 0.46595398559144785, 0.5372995584475947, 0.5231234022774808, 0.5440390425284685, 0.539855914478271, 0.48570764582849174, 0.5221938182663258, 0.5117359981408319]",16,300,300
315,wj3qw6,0.5121247381894345,0.0648645952375067,55.67612,12.559046,"[0.6290435187340004, 0.533395392134047, 0.6032115429369328, 0.5180358389574121, 0.2769373981847801]",5,11,50
97,7w9qrp,0.4949121184088806,0.1400388773085804,56.182788,10.103635,"[0.4364014801110083, 0.553422756706753]",2,22,50
179,gex3n7,0.4937640405918351,0.1244962037244419,55.714602,11.717588,"[0.5340460144085521, 0.505228910062747, 0.44201719730420636]",3,50,300
125,995rxg,0.4879210220673635,0.1361226517536022,55.654635,12.620347,"[0.3698025551684088, 0.6060394889663182]",2,43,50
0,25286j,0.4834414080592867,0.1524359649470092,56.113159,10.132036,"[0.5159796201945345, 0.4509031959240389]",2,300,300
149,dne2kr,0.4810860988628452,0.2497002128731024,54.913956,9.793496,[0.4810860988628452],1,50,50
23,39g88z,0.476733471550334,0.1032603872411483,55.678422,12.529694,"[0.47777009905551715, 0.48882745911080394, 0.4865238424326192, 0.4538124856023958]",4,300,300
318,wj6pz7,0.4661331477615402,0.132611470898651,55.711324,12.540379,"[0.495940617026212, 0.4363256784968685]",2,43,50
162,eeq85m,0.4576388888888889,0.1292539746854982,55.453194,11.789021,"[0.42083333333333334, 0.49444444444444446]",2,43,50
25,39g8qx,0.4508537148131056,0.1323636836499404,55.847837,12.065215,"[0.467005076142132, 0.4347023534840794]",2,43,50
120,8zxw8,0.4484148227456578,0.0690499095684299,55.786395,9.667926,"[0.4848917439923864, 0.46157506542945514, 0.37044967880085655, 0.5105876754699025, 0.5065429455151083, 0.4784677611230074, 0.38329764453961457, 0.2928860337853914, 0.43397573162027125, 0.3402331667856293, 0.5726861765405663, 0.5298596240780395, 0.4739471805852962, 0.4318344039971449, 0.38639067332857485, 0.5170116583392814]",16,150,150
299,rggmqx,0.4455932743644912,0.0836986270316453,55.772665,12.504799,"[0.462347597418121, 0.43652880707626107, 0.42027253167583073, 0.4456131962706192, 0.3810662204159694, 0.3875209180014344, 0.4061678221372221, 0.39206311259861343, 0.5094429835046618, 0.4762132440831939, 0.47979918718623, 0.5500836720057375]",12,250,250
366,yr68wy,0.4442374854481956,0.131787349269875,55.728455,12.439682,"[0.4281722933643772, 0.460302677532014]",2,43,50
210,kdp2q,0.4414471071097577,0.0613519026052458,55.929234,12.291381,"[0.3113994439295644, 0.25648748841519925, 0.5544485634847081, 0.5662650602409639, 0.5433271547729379, 0.5217794253938832, 0.33642261353104724]",7,22,300
365,yr68rq,0.4406307977736549,0.1065804107856001,55.252667,11.78572,"[0.32490723562152135, 0.35528756957328383, 0.6416975881261595]",3,11,50
195,jq8xmg,0.4392890120036934,0.246371048292997,57.455262,9.993931,[0.43928901200369347],1,50,50
229,mw5ppj,0.4350197261545602,0.1427125170202591,55.906489,12.474888,"[0.3826873984683221, 0.4873520538407983]",2,43,50
1,256kqp,0.4335266821345707,0.1504305858509061,55.642697,12.590875,"[0.4194895591647332, 0.44756380510440835]",2,150,150
57,5yw3gj,0.4322467986030268,0.1443371724251241,55.046193,9.419178,"[0.43213038416763677, 0.43236321303841674]",2,22,50
281,qkex2x,0.4308212337712222,0.0881067456337524,55.708968,9.54478,"[0.3701313666743489, 0.42406084351233003, 0.49827149112698776]",3,22,50
359,ymrgmd,0.4305523457360758,0.1573927369148614,57.004812,9.879316,"[0.4097527155072799, 0.45135197596487175]",2,300,300
89,7nn8my,0.4254730041532072,0.0946572819210034,55.308471,10.808783,"[0.446931241347485, 0.3940932164282418, 0.41808952468850946, 0.3991693585602215, 0.4580064605445316, 0.4365482233502538]",6,300,300
26,39g8wp,0.4241443108233117,0.1294516155332056,56.160485,10.222005,"[0.459990749306198, 0.3882978723404255]",2,43,50
148,dne2kp,0.4221198156682028,0.1311768835436397,56.092085,8.242567,"[0.4997695852534562, 0.3444700460829493]",2,43,50
277,qke323,0.4049883990719257,0.1281835111208991,56.153496,10.136087,"[0.38167053364269143, 0.4283062645011601]",2,43,50
16,2n9kg,0.4026599739864803,0.043039569466868,55.489025,12.163113,"[0.39628482972136225, 0.5096451536080019, 0.4243867587520838, 0.44391521790902594, 0.5308406763515122, 0.34031912360085737, 0.3850916884972613, 0.49511788521076444, 0.3984281971898071, 0.4134317694689212, 0.4198618718742558, 0.410335794236723, 0.38604429626101455, 0.4205763276970707, 0.33507978090021434, 0.40200047630388186, 0.4070016670635866, 0.40414384377232676, 0.45296499166468207, 0.4227196951655156, 0.4070016670635866, 0.4100976422957847, 0.2093355560847821, 0.25005953798523456, 0.40985949035484637, 0.38461538461538464]",26,150,150
390,zne2gp,0.4012158054711246,0.0869711594507834,55.669914,12.622625,"[0.3563245265372925, 0.45265372924947395, 0.3104980126256722, 0.48538695347205985]",4,300,300
250,nz32d8,0.4003241491085899,0.1362527897617527,55.975025,10.14949,"[0.3584163000694605, 0.44223199814771935]",2,43,50
163,eeq8wm,0.3981119042136772,0.1247500040567831,55.255631,9.481963,"[0.35804743265024175, 0.4381763757771126]",2,43,50
153,drjk6y,0.3957175925925926,0.10083833652766,56.168303,9.551111,"[0.3386574074074074, 0.39861111111111114, 0.4013888888888889, 0.444212962962963]",4,300,300
213,kj9r83,0.3933906044423806,0.097130274884093,54.767519,11.873621,"[0.3663803111214302, 0.4332482006036684, 0.3805433016020432]",3,22,50
278,qke39y,0.3894297635605007,0.1283927654111659,55.567308,9.721277,"[0.45387111729253593, 0.32498840982846544]",2,43,50
84,7n3j3y,0.3779527559055118,0.1357843646889516,57.005642,9.876272,"[0.3209819360815192, 0.4349235757295044]",2,43,50
11,2j72ky,0.3739316239316239,0.0868786237894371,55.582747,12.295032,"[0.4737814737814738, 0.4670824670824671, 0.2822822822822823, 0.27258027258027256]",4,43,300
296,reqydq,0.3729441741950428,0.1246663298299302,56.48239,10.025751,"[0.359740560574473, 0.3861477878156127]",2,43,50
368,yr6w8k,0.3723084047233155,0.0749161846236471,55.378059,10.433246,"[0.2996063903681408, 0.30863625839314657, 0.4690900671451725, 0.4505672609400324, 0.3336420467700857]",5,11,300
215,kjdxe9,0.3682012292464878,0.0585501146135252,55.386511,10.426722,"[0.3481800766283525, 0.3184865900383142, 0.28400383141762453, 0.3903256704980843, 0.41522988505747127, 0.42265325670498083, 0.3414750957854406, 0.25383141762452105, 0.444683908045977, 0.2962164750957854, 0.31082375478927204, 0.4818007662835249, 0.45162835249042144, 0.3546455938697318, 0.47174329501915707]",15,250,250
235,mzjgpp,0.3662695631861714,0.0098962597174649,55.486708,12.157368,"[1.0, 0.0, 0.09880868955851436]",3,22,50
280,qke3yy,0.3650921658986175,0.1335011438427386,55.651352,12.380832,"[0.3076036866359447, 0.42258064516129035]",2,22,50
13,2j72r2,0.3594544613962089,0.2303001878679523,56.376929,8.621127,[0.35945446139620896],1,50,50
340,xpmnk7,0.3585298196948682,0.1477272253533548,55.012248,11.908791,"[0.35436893203883496, 0.36269070735090153]",2,300,300
303,rp535z,0.3561043157165935,0.1396655218950362,55.782198,12.519621,"[0.36995153473344106, 0.34225709669974613]",2,300,300
169,ejqeg3,0.3542249145697421,0.0324682279174038,55.663749,9.547091,"[0.08946877912395154, 0.6644920782851818, 0.032851817334575956, 0.6311742777260019, 0.06104380242311277, 0.05964585274930102, 0.6663560111835974, 0.6749767008387698, 0.06337371854613234, 0.6288443616029823, 0.6407269338303822, 0.03774464119291705]",12,22,150
227,mw5pde,0.3508731262556019,0.1045174897859166,55.39434,10.376846,"[0.3507185906351414, 0.32962447844228093, 0.3722763096893834]",3,50,300
251,nz32ey,0.3469599263012436,0.1344286733534156,56.032527,9.93137,"[0.28972823583602025, 0.4041916167664671]",2,43,50
63,628ydg,0.3411518810961449,0.1270842942322324,56.562711,9.026866,"[0.26497909893172317, 0.39526242452392013]",2,43,50
