OMRÅDE;INDHOLD;Change_First_Last;Change_2023_2024;Per_Change_Frist_Last;Per_Change_2023_2024
København;1.0;14678;6371;91.69165417291354;39.798850574712645
Frederiksberg;0.162856071964018;2460;1035;94.36133486766398;39.70080552359033
Dragør;0.04891304347826087;739;276;94.38058748403576;35.24904214559387
Tårnby;0.13599450274862568;1409;501;64.7220946256316;23.013321084060635
Albertslund;0.09782608695652174;1392;686;88.88888888888889;43.8058748403576
Ballerup;0.1622313843078461;2515;1298;96.84251058914133;49.98074701578744
Brøndby;0.165792103948026;2540;530;95.7045968349661;19.9698568198945
Gentofte;0.24750124937531234;3641;1315;91.89803129732458;33.190307925290256
Gladsaxe;0.19933783108445777;3048;1418;95.51864619241616;44.43748041366343
Glostrup;0.06271864067966017;944;385;94.02390438247012;38.34661354581673
Herlev;0.06984007996002;1089;526;97.40608228980322;47.04830053667263
Hvidovre;0.1265617191404298;1952;919;96.34748272458046;45.36031589338598
Høje-Taastrup;0.15073713143428286;2333;1180;96.68462494819728;48.90178201409034
Ishøj;0.04716391804097951;721;310;95.49668874172184;41.05960264900662
Lyngby-Taarbæk;0.19102948525737132;2873;1265;93.95029431000654;41.36690647482014
Rødovre;0.09251624187906048;1412;607;95.34098582039164;40.98582039162728
Vallensbæk;0.049100449775112444;759;348;96.5648854961832;44.27480916030535
Allerød;0.09489005497251374;1448;600;95.32587228439763;39.49967083607637
Egedal;0.13818090954522738;2140;967;96.74502712477396;43.71609403254973
Fredensborg;0.12674912543728137;1938;789;95.51503203548546;38.88615081320848
Frederikssund;0.12450024987506247;1931;842;96.88911189162069;42.24786753637732
Furesø;0.13949275362318841;2122;874;95.02910882221228;39.14017017465293
Gribskov;0.10532233883058471;1629;690;96.61921708185054;40.92526690391459
Halsnæs;0.06515492253873063;1025;442;98.27420901246404;42.37775647171621
Helsingør;0.15342328835582209;2349;982;95.64332247557005;39.98371335504886
Hillerød;0.1874062968515742;2806;1206;93.53333333333332;40.2
Hørsholm;0.11675412293853074;1783;760;95.39860888175495;40.663456393793474
Rudersdal;0.24962518740629686;3721;1455;93.11811811811812;36.41141141141141
Bornholm;0.05784607696151924;872;366;94.1684665226782;39.524838012958966
Greve;0.1692278860569715;2583;1158;95.34883720930232;42.74640088593577
Køge;0.16485507246376813;2562;1036;97.08222811671088;39.257294429708224
Lejre;0.09020489755122439;1394;520;96.53739612188366;36.011080332409975
Roskilde;0.2613693153423288;4008;1733;95.79349904397706;41.41969407265774
Solrød;0.08308345827086457;1293;558;97.21804511278197;41.95488721804511
Faxe;0.0885807096451774;1370;616;96.61495063469675;43.441466854724965
Guldborgsund;0.0872063968015992;1348;628;96.56160458452722;44.985673352435526
Holbæk;0.18728135932033982;2921;1327;97.43162108072048;44.2628418945964
Kalundborg;0.07877311344327836;1220;528;96.74861221252974;41.871530531324346
Lolland;0.040417291354322836;630;283;97.3724884080371;43.7403400309119
Næstved;0.17666166916541728;2765;1143;97.77227722772275;40.417256011315416
Odsherred;0.05847076461769116;914;372;97.64957264957263;39.74358974358975
Ringsted;0.0872063968015992;1361;557;97.49283667621776;39.89971346704871
Slagelse;0.14149175412293852;2207;1015;97.439293598234;44.81236203090508
Sorø;0.06646676661669165;1044;448;98.1203007518797;42.10526315789473
Stevns;0.059532733633183406;914;362;95.90766002098636;37.98530954879328
Vordingborg;0.08377061469265368;1296;511;96.64429530201345;38.10589112602536
Assens;0.0755872063968016;1173;570;96.94214876033058;47.10743801652893
Faaborg-Midtfyn;0.0879560219890055;1364;639;96.875;45.38352272727273
Kerteminde;0.04597701149425287;718;329;97.55434782608695;44.70108695652174
Langeland;0.011369315342328835;168;79;92.3076923076923;43.40659340659341
Middelfart;0.10625937031484257;1649;721;96.94297472075247;42.38683127572017
Nordfyns;0.056284357821089454;880;432;97.669256381798;47.94672586015538
Nyborg;0.05784607696151924;904;435;97.62419006479482;46.97624190064795
Odense;0.398488255872064;6094;2958;95.53221508073366;46.37090453049068
Svendborg;0.11138180909545227;1712;755;96.0179472798654;42.34436343241728
Ærø;0.006871564217891054;105;31;95.45454545454544;28.18181818181818
Billund;0.07833583208395802;1214;615;96.81020733652312;49.04306220095694
Esbjerg;0.22488755622188905;3523;1888;97.86111111111111;52.44444444444445
Fanø;0.003935532233883058;58;32;92.06349206349206;50.79365079365079
Fredericia;0.1430534732633683;2221;1004;96.98689956331876;43.84279475982533
Haderslev;0.09763868065967017;1525;730;97.56877799104286;46.70505438259757
Kolding;0.23994252873563218;3757;1950;97.81306951314762;50.76802915907316
Sønderborg;0.14355322338830584;2191;1041;95.3437771975631;45.30026109660575
Tønder;0.0537856071964018;841;416;97.67711962833914;48.31591173054588
Varde;0.09101699150424787;1427;757;97.94097460535347;51.95607412491421
Vejen;0.08152173913043478;1273;648;97.54789272030652;49.6551724137931
Vejle;0.2960394802598701;4622;2197;97.5311247098544;46.35999155940071
Aabenraa;0.10875812093953023;1698;853;97.53015508328546;48.99483055715106
Favrskov;0.13724387806096952;2124;1036;96.6772872098316;47.15521165225307
Hedensted;0.11350574712643678;1769;895;97.35828288387452;49.257017061089705
Horsens;0.21270614692653672;3273;1705;96.12334801762114;50.073421439060205
Norddjurs;0.05253623188405797;811;351;96.43281807372176;41.73602853745541
Odder;0.0625312343828086;978;463;97.7022977022977;46.25374625374625
Randers;0.21426786606696652;3333;1641;97.17201166180756;47.84256559766765
Samsø;0.007746126936531734;86;34;69.35483870967742;27.41935483870968
Silkeborg;0.2915417291354323;4554;2285;97.57874437540175;48.96078851510606
Skanderborg;0.22357571214392805;3480;1631;97.2338642078793;45.57138865604918
Syddjurs;0.11225637181409295;1748;766;97.27323316638842;42.6265998887034
Aarhus;0.861944027986007;13344;6282;96.70966806783592;45.52833744020873
Herning;0.18934282858570714;2957;1463;97.55856153084792;48.26789838337183
Holstebro;0.11750374812593703;1845;960;98.08612440191388;51.03668261562998
Ikast-Brande;0.14642678660669664;2302;1053;98.20819112627989;44.92320819112628
Lemvig;0.03017241379310345;462;235;95.65217391304348;48.65424430641822
Ringkøbing-Skjern;0.09414042978510745;1454;765;96.4830789648308;50.76310550763105
Skive;0.06690404797601199;1039;563;97.01213818860876;52.56769374416434
Struer;0.03554472763618191;547;259;96.1335676625659;45.51845342706503
Viborg;0.22288855572213892;3460;1636;96.97309417040358;45.85201793721973
Brønderslev;0.06671664167916042;1029;517;96.34831460674155;48.40823970037454
Frederikshavn;0.10051224387806097;1543;756;95.8980733374767;46.98570540708515
Hjørring;0.11719140429785108;1825;899;97.2814498933902;47.921108742004265
Jammerbugt;0.07402548725637181;1131;576;95.44303797468356;48.60759493670886
Læsø;0.0031859070464767617;38;14;74.50980392156863;27.450980392156865
Mariagerfjord;0.09107946026986506;1401;728;96.09053497942386;49.93141289437586
Morsø;0.02623688155922039;406;213;96.66666666666669;50.71428571428571
