longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27
10.6484,55.5015,14.8393,0,0,0,0,0,0.454407,0,0,0,0,0,0,0,0,0,0,13.1126,0.107951,0,0,1.16437,0,0,0,0,0,0
8.83612,56.782,15.0951,0,0,0,0,0,0,0,0,0.190876,0.148782,0,0,0,0,0,0.00201914,14.7342,0.00365994,0,0,0.015595,0,0,0,0,0,0
10.1824,57.0617,14.6442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4798,0,0,0,1.16437,0,0,0,0,0,0
9.12968,55.1301,18.9176,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.5284,0.00428004,0.220597,0,1.16437,0,0,0,0,0,0
11.343,55.414,1.29852,0,0.0285393,0,0,0.0361247,0,0,0,0.010357,0,0,0,0.0163524,0,0,0,1.10366,0,0.0212288,0,0.082256,0,0,0,0,0,0
9.53537,56.7399,0.220597,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.220597,0,0,0,0,0,0,0,0
9.91177,56.3591,11.44,0,0,0,0,0,0.338999,0,0,0,0,0,0,0,0,0,0,10.8431,0.0040654,0.202118,0,0.0517469,0,0,0,0,0,0
11.8599,55.5921,16.283,0,0.0811836,0.000516255,0.274218,0,0,0,0,0,0,0,0,0.0732831,0,0,0,8.41831,0.0183394,0.116888,0,1.28005,0,0,0,6.02022,0,0
9.99036,57.2485,0.602567,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.184691,0.00545927,0.33898,0.00344463,0,0,0.0699916,0,0,0,0,0,0
9.24193,56.9648,10.1884,0,0.0233347,0.000171282,0,0,0,0,0.0359668,0,0,0,0,0,0,0,0,9.88716,0.00407086,0.237696,0,0,0,0,0,0,0,0
10.1824,57.0617,14.6442,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13.4798,0,0,0,1.16437,0,0,0,0,0,0
8.80521,56.3904,4.85235,0,0,0,0,0,0.281465,0,0,0,0,0,0,0.0243905,0,0,0,3.38212,0,0,0,1.16437,0,0,0,0,0,0
11.296,55.488,0.546944,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.546944,0,0,0,0,0,0,0,0,0,0
10.1612,57.1524,5.84402,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.2113,0.195061,3.43766,0,0,0,0,0,0,0,0,0,0
9.36722,55.0655,17.9813,0,0,0,0,0,0,0,0,0,0.802505,0,0,0,0,1.82184,0.0697009,15.1793,0.107951,0,0,0,0,0,0,0,0,0
9.79439,56.3915,18.6265,0,0,0,0,0,0,0,0.0470798,0,0,0,0,0,0,0,0,17.1371,0.00170795,0,0,1.44061,0,0,0,0,0,0
8.29872,56.1965,1.97121,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.89049,0,0,0,0.0807212,0,0,0,0,0,0
10.0641,56.4662,2.54053,0,0.807032,0,0.0952264,0,0,0,0,0,0,0,0,0,0,0,0,1.56216,0.00233901,0.00531442,0,0.0684586,0,0,0,0,0,0
8.85901,56.0312,4.89239,0,0.244141,0,0,0,0.465642,0,0.122797,0,0,0,0.0014204,0,0,0,0,4.03387,0,0,0,0.0245199,0,0,0,0,0,0
10.4105,54.8869,13.2298,0,1.01591,0,0,0,0,0,0.207911,0,0,0.0126809,0.00376908,0,0,0,0,11.6855,0.0393228,0.222507,0,0.0393205,0.00291336,0,0,0,0,0
11.9156,55.0071,17.375,0,2.46223,0,0,0,0.958245,0,0,0,0,0.0220086,0,0.0180464,0.00409827,0,0,13.8083,0.0058989,0.0526385,0,0.0365827,0,0,0,0,0.00691866,0
9.9104,55.2611,12.1912,0,0.311362,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.6184,0,0,0,0,0,0,0,0.261379,0,0
10.0632,56.264,20.8483,0,1.30208,0,0,0,0,0,0,0,0,0,0,0,0.0277356,0,0,17.6179,0,0.146067,0,1.75447,0,0,0,0,0,0
10.0467,56.3267,15.0625,0,0.359609,0.00197026,0,0,2.13551,0,0,0.106126,0,0,0,0,0,0,0,11.6093,0.0087334,0.0809016,0,0.760388,0,0,0,0,0,0
8.22163,56.7002,2.09348,0,0.0638058,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.9857,0,0.0204533,0,0.0235203,0,0,0,0,0,0
11.7901,55.2542,15.429,0,0,0,0,0,0,0,0,0,0.604817,0,0,0,0,0,0.00350235,14.7036,0,0.0427674,0,0.0742717,0,0,0,0,0,0
