OMRÅDE;INDHOLD;Change_First_Last;Change_2023_2024;Per_Change_Frist_Last;Per_Change_2023_2024
København;16008;14678;6371;91.69165417291354;39.798850574712645
Frederiksberg;2607;2460;1035;94.36133486766398;39.70080552359033
Dragør;783;739;276;94.38058748403576;35.24904214559387
Tårnby;2177;1409;501;64.7220946256316;23.013321084060635
Albertslund;1566;1392;686;88.88888888888889;43.8058748403576
Ballerup;2597;2515;1298;96.84251058914131;49.98074701578744
Brøndby;2654;2540;530;95.7045968349661;19.9698568198945
Gentofte;3962;3641;1315;91.89803129732458;33.190307925290256
Gladsaxe;3191;3048;1418;95.51864619241617;44.43748041366343
Glostrup;1004;944;385;94.02390438247012;38.34661354581673
Herlev;1118;1089;526;97.40608228980322;47.04830053667263
Hvidovre;2026;1952;919;96.34748272458046;45.36031589338598
Høje-Taastrup;2413;2333;1180;96.68462494819727;48.901782014090344
Ishøj;755;721;310;95.49668874172185;41.05960264900662
Lyngby-Taarbæk;3058;2873;1265;93.95029431000654;41.36690647482014
Rødovre;1481;1412;607;95.34098582039164;40.98582039162728
Vallensbæk;786;759;348;96.56488549618321;44.274809160305345
Allerød;1519;1448;600;95.32587228439763;39.49967083607637
Egedal;2212;2140;967;96.74502712477397;43.71609403254973
Fredensborg;2029;1938;789;95.51503203548546;38.886150813208474
Frederikssund;1993;1931;842;96.88911189162067;42.24786753637732
Furesø;2233;2122;874;95.02910882221227;39.14017017465293
Gribskov;1686;1629;690;96.61921708185054;40.92526690391459
Halsnæs;1043;1025;442;98.27420901246404;42.377756471716204
Helsingør;2456;2349;982;95.64332247557003;39.98371335504886
Hillerød;3000;2806;1206;93.53333333333333;40.2
Hørsholm;1869;1783;760;95.39860888175495;40.663456393793474
Rudersdal;3996;3721;1455;93.11811811811812;36.41141141141141
Bornholm;926;872;366;94.16846652267819;39.524838012958966
Greve;2709;2583;1158;95.34883720930233;42.74640088593577
Køge;2639;2562;1036;97.08222811671088;39.257294429708224
Lejre;1444;1394;520;96.53739612188366;36.011080332409975
Roskilde;4184;4008;1733;95.79349904397706;41.41969407265774
Solrød;1330;1293;558;97.21804511278197;41.95488721804511
Faxe;1418;1370;616;96.61495063469675;43.441466854724965
Guldborgsund;1396;1348;628;96.56160458452722;44.985673352435526
Holbæk;2998;2921;1327;97.43162108072048;44.2628418945964
Kalundborg;1261;1220;528;96.74861221252974;41.871530531324346
Lolland;647;630;283;97.3724884080371;43.7403400309119
Næstved;2828;2765;1143;97.77227722772277;40.417256011315416
Odsherred;936;914;372;97.64957264957265;39.743589743589745
Ringsted;1396;1361;557;97.49283667621776;39.899713467048706
Slagelse;2265;2207;1015;97.439293598234;44.81236203090508
Sorø;1064;1044;448;98.1203007518797;42.10526315789473
Stevns;953;914;362;95.90766002098636;37.98530954879328
Vordingborg;1341;1296;511;96.64429530201343;38.105891126025355
Assens;1210;1173;570;96.94214876033058;47.107438016528924
Faaborg-Midtfyn;1408;1364;639;96.875;45.38352272727273
Kerteminde;736;718;329;97.55434782608695;44.70108695652174
Langeland;182;168;79;92.3076923076923;43.40659340659341
Middelfart;1701;1649;721;96.94297472075249;42.38683127572017
Nordfyns;901;880;432;97.669256381798;47.94672586015538
Nyborg;926;904;435;97.62419006479482;46.97624190064795
Odense;6379;6094;2958;95.53221508073366;46.37090453049068
Svendborg;1783;1712;755;96.0179472798654;42.344363432417275
Ærø;110;105;31;95.45454545454545;28.18181818181818
Billund;1254;1214;615;96.81020733652312;49.04306220095694
Esbjerg;3600;3523;1888;97.86111111111111;52.44444444444445
Fanø;63;58;32;92.06349206349206;50.79365079365079
Fredericia;2290;2221;1004;96.98689956331877;43.842794759825324
Haderslev;1563;1525;730;97.56877799104286;46.70505438259757
Kolding;3841;3757;1950;97.81306951314762;50.76802915907316
Sønderborg;2298;2191;1041;95.3437771975631;45.300261096605745
Tønder;861;841;416;97.67711962833914;48.31591173054588
Varde;1457;1427;757;97.94097460535347;51.95607412491421
Vejen;1305;1273;648;97.54789272030652;49.6551724137931
Vejle;4739;4622;2197;97.5311247098544;46.35999155940071
Aabenraa;1741;1698;853;97.53015508328546;48.99483055715106
Favrskov;2197;2124;1036;96.67728720983159;47.15521165225307
Hedensted;1817;1769;895;97.35828288387451;49.257017061089705
Horsens;3405;3273;1705;96.12334801762114;50.073421439060205
Norddjurs;841;811;351;96.43281807372176;41.73602853745541
Odder;1001;978;463;97.7022977022977;46.25374625374625
Randers;3430;3333;1641;97.17201166180757;47.842565597667644
Samsø;124;86;34;69.35483870967742;27.419354838709676
Silkeborg;4667;4554;2285;97.57874437540175;48.96078851510606
Skanderborg;3579;3480;1631;97.2338642078793;45.57138865604918
Syddjurs;1797;1748;766;97.27323316638842;42.626599888703396
Aarhus;13798;13344;6282;96.70966806783592;45.52833744020873
Herning;3031;2957;1463;97.55856153084791;48.26789838337183
Holstebro;1881;1845;960;98.08612440191388;51.03668261562998
Ikast-Brande;2344;2302;1053;98.20819112627987;44.92320819112628
Lemvig;483;462;235;95.65217391304348;48.65424430641822
Ringkøbing-Skjern;1507;1454;765;96.4830789648308;50.76310550763105
Skive;1071;1039;563;97.01213818860877;52.56769374416434
Struer;569;547;259;96.1335676625659;45.518453427065026
Viborg;3568;3460;1636;96.97309417040358;45.85201793721973
Brønderslev;1068;1029;517;96.34831460674157;48.40823970037454
Frederikshavn;1609;1543;756;95.8980733374767;46.98570540708515
