longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7,Score8,Score9,Score10,Score11,Score12,Score13,Score14,Score15,Score16,Score17,Score18,Score19,Score20,Score21,Score22,Score23,Score24,Score25,Score26,Score27,Score28,Score29,Score30,Score31
10.0552,56.1197,553.986,0.763483,0,0,0,0,0,168.096,0,0,0,0,0,0,0,0,0,97.7535,0,244.849,42.5236,0,0,0,0,0,0,0,0,0,0,0
10.0611,56.1197,552.584,1.06836,0,0,0,0,0,164.365,0,0,0,0,0,0,0,0,0,0,0,330.095,57.0555,0,0,0,0,0,0,0,0,0,0,0
10.067,56.1197,768.567,3.38219,0,0,0,0,0,83.9633,0,0,0,0,0,0,0,0,0,255.615,0,387.722,37.8836,0,0,0,0,0,0,0,0,0,0,0
10.0728,56.1197,1282.9,17.6407,0,0,0,0,0,52.357,0,0,0,0,0,0,0,0,0,775.84,0,416.897,20.1613,0,0,0,0,0,0,0,0,0,0,0
10.0787,56.1197,11241.1,21.5359,0,0,0,0,0,47.9701,0,0,0,0,0,0,0,0,0,10709.7,0,461.856,0,0,0,0,0,0,0,0,0,0,0,0
10.0845,56.1197,17616.4,13.3253,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16950.6,0,652.517,0,0,0,0,0,0,0,0,0,0,0,0
10.0904,56.1197,4066.85,7.91089,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1099.35,0,2959.59,0,0,0,0,0,0,0,0,0,0,0,0
10.0963,56.1197,1724.61,4.6499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,303.012,0,1416.95,0,0,0,0,0,0,0,0,0,0,0,0
10.1021,56.1197,510.552,1.48993,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,509.062,0,0,0,0,0,0,0,0,0,0,0,0
10.108,56.1197,355.023,0.66204,0,0,0,0,0,0,0,0,15.0628,0,0,0,0,0,0,0,0,339.298,0,0,0,0,0,0,0,0,0,0,0,0
10.1138,56.1197,656.724,0.36975,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,624.22,0,0,0,0,32.1345,0,0,0,0,0,0,0
10.1197,56.1197,1791.93,0.232856,0,0,0,0,0,71.728,0,0,0,0,0,0,0,0,0,0,0,1687.31,0,0,0,0,32.6581,0,0,0,0,0,0,0
10.1256,56.1197,5616.89,0.219509,12.5302,0,0,0,0,163.978,0,0,0,0,0,0,0,0,0,0,0,5440.16,0,0,0,0,0,0,0,0,0,0,0,0
10.1314,56.1197,5496.51,0.271659,24.9301,0,0,0,0,254.114,0,0,0,0,0,0,0,0,0,0,0,5150.93,30.3434,0,0,0,35.9215,0,0,0,0,0,0,0
