longitude,latitude,gravity,Score1,Score2,Score3,Score4,Score5,Score6,Score7
10.1612,57.1524,2120.27,0,0,0,1458.55,661.721,0,0
9.36722,55.0655,1129.36,0,0,0,892.911,236.453,0,0
9.76432,56.1476,2627.19,0,0,0,1259.32,1367.87,0,0
9.93721,57.2226,608.926,0,0,0,0,608.926,0,0
9.76695,56.1497,3011.12,0,0,0,1861.93,1149.19,0,0
9.00497,56.0397,79.2811,0,0,0,0,79.2811,0,0
10.0659,56.1752,10067.5,0,0,0,5690.52,4376.95,0,0
9.40002,55.5141,2882.92,0,0,0,2862.77,20.1489,0,0
9.0001,56.038,42.575,0,0,0,0,42.575,0,0
9.94186,57.222,837.534,0,0,0,0,837.534,0,0
9.39401,55.512,3596.82,0,0,0,3586.08,10.7408,0,0
9.51789,56.2008,4102.02,0,0,0,3642.61,459.409,0,0
9.32942,54.8262,1724.35,0,0,0,1508.42,215.926,0,0
10.0654,56.1781,7811.53,0,0,0,3434.58,4376.95,0,0
10.0242,57.1,1746.9,0,0,0,832.517,53.6076,0,860.774
9.5784,56.1858,7072.42,0,0,0,6179.75,57.7295,0,834.936
12.2314,55.5607,20076.7,0,9920.99,0,1931.22,8224.46,0,0
11.6519,55.7006,192.106,0,0,0,0,192.106,0,0
8.58928,55.5246,9.73065,0,0,0,0,9.73065,0,0
9.74208,56.8436,2823.21,0,0,0,1571.1,1252.11,0,0
11.6567,55.7018,2163.89,0,0,0,623.285,1540.6,0,0
11.5965,55.4554,643.959,0,0,0,589.039,54.9198,0,0
11.9875,54.9484,72.1649,0,0,0,0,72.1649,0,0
11.6072,55.4552,615.288,0,0,0,608.83,6.45888,0,0
9.33313,54.8323,789.189,0,0,0,710.878,78.3117,0,0
9.7435,56.8413,1435.4,0,0,0,0,1435.4,0,0
12.0003,54.9981,9920.99,0,9920.99,0,0,0,0,0
10.189,55.3933,2662.2,0,0,0,636.325,2025.87,0,0
9.46446,55.5264,595.686,0,0,0,0,595.686,0,0
11.9592,55.0807,6797.85,0,0,0,0,107.711,6690.14,0
10.1581,57.1543,469.51,0,0,0,0,469.51,0,0
9.55807,55.6421,21.309,0,0,0,0,21.309,0,0
12.2154,55.5457,15062.1,0,9920.99,0,4501.8,639.298,0,0
12.0971,55.6261,310.57,0,0,0,0,310.57,0,0
9.56305,55.6404,31.1092,0,0,0,0,31.1092,0,0
11.8308,55.6397,70.2329,0,0,0,0,70.2329,0,0
