,Unnamed: 0,slug,status_3_ratio_mean,status_3_ratio_var,latitude,longitude,ratios,ratios_length,minCapacity,maxCapacity
2,196,jq8xwm,0.5573961735884274,0.2467632535116097,55.723784,9.58365,[0.5573961735884274],1,50.0,50.0
4,214,kj9rwe,0.5364607524384579,0.1194600840574128,55.626754,12.575313,"[0.41407338597306087, 0.6588481189038551]",2,43.0,50.0
5,275,qk7jyq,0.5121426911457123,0.0736662992532859,55.489341,12.161393,"[0.5177782942133395, 0.4991866139902394, 0.4782709737392517, 0.4945386939344643, 0.4926795259121543, 0.5205670462468046, 0.56983499883802, 0.49151754589821056, 0.46595398559144785, 0.5372995584475947, 0.5231234022774808, 0.5440390425284685, 0.539855914478271, 0.48570764582849174, 0.5221938182663258, 0.5117359981408319]",16,300.0,300.0
14,162,eeq85m,0.4576388888888889,0.1292539746854982,55.453194,11.789021,"[0.42083333333333334, 0.49444444444444446]",2,43.0,50.0
16,120,8zxw8,0.4484148227456578,0.0690499095684299,55.786395,9.667926,"[0.4848917439923864, 0.46157506542945514, 0.37044967880085655, 0.5105876754699025, 0.5065429455151083, 0.4784677611230074, 0.38329764453961457, 0.2928860337853914, 0.43397573162027125, 0.3402331667856293, 0.5726861765405663, 0.5298596240780395, 0.4739471805852962, 0.4318344039971449, 0.38639067332857485, 0.5170116583392814]",16,150.0,150.0
22,229,mw5ppj,0.4350197261545602,0.1427125170202591,55.906489,12.474888,"[0.3826873984683221, 0.4873520538407983]",2,43.0,50.0
27,89,7nn8my,0.4254730041532072,0.0946572819210034,55.308471,10.808783,"[0.446931241347485, 0.3940932164282418, 0.41808952468850946, 0.3991693585602215, 0.4580064605445316, 0.4365482233502538]",6,300.0,300.0
31,16,2n9kg,0.4026599739864803,0.043039569466868,55.489025,12.163113,"[0.39628482972136225, 0.5096451536080019, 0.4243867587520838, 0.44391521790902594, 0.5308406763515122, 0.34031912360085737, 0.3850916884972613, 0.49511788521076444, 0.3984281971898071, 0.4134317694689212, 0.4198618718742558, 0.410335794236723, 0.38604429626101455, 0.4205763276970707, 0.33507978090021434, 0.40200047630388186, 0.4070016670635866, 0.40414384377232676, 0.45296499166468207, 0.4227196951655156, 0.4070016670635866, 0.4100976422957847, 0.2093355560847821, 0.25005953798523456, 0.40985949035484637, 0.38461538461538464]",26,150.0,150.0
43,235,mzjgpp,0.3662695631861714,0.0098962597174649,55.486708,12.157368,"[1.0, 0.0, 0.09880868955851436]",3,22.0,50.0
48,169,ejqeg3,0.3542249145697421,0.0324682279174038,55.663749,9.547091,"[0.08946877912395154, 0.6644920782851818, 0.032851817334575956, 0.6311742777260019, 0.06104380242311277, 0.05964585274930102, 0.6663560111835974, 0.6749767008387698, 0.06337371854613234, 0.6288443616029823, 0.6407269338303822, 0.03774464119291705]",12,22.0,150.0
52,242,nj37zx,0.3367113198793783,0.0395510744750787,57.088541,9.968678,"[0.3277661795407098, 0.35258640686615633, 0.48341452099280907, 0.4154488517745303, 0.2407794015309673, 0.42240779401530965, 0.33356529807469265, 0.20598469032707029, 0.40964973324054743, 0.1936905590350267, 0.49826026443980515, 0.24913013221990257, 0.47923915564834146, 0.25516121549524473, 0.26351194618418, 0.2567849686847599]",16,300.0,300.0
62,353,y9gre,0.3175590302455974,0.0521816679535195,55.51131,9.764768,"[0.30514096185737977, 0.2688936271025823, 0.30443022980336415, 0.32859511963989574, 0.3079838900734423, 0.30561478322672353, 0.2942430703624733, 0.33001658374792703, 0.4581852641554134, 0.2977967306325515, 0.31272210376687987, 0.2970859985785359]",12,150.0,150.0
64,308,rpnyj2,0.3149349361263192,0.0492757537021923,55.534483,9.716938,"[0.3622946917400619, 0.3025470126160438, 0.36181861461556775, 0.43013568198048086, 0.3234944060937872, 0.3218281361580576, 0.29469174006189003, 0.33444417995715303, 0.3156391335396334, 0.32611283027850513, 0.2599381099738158, 0.31064032373244466, 0.2713639609616758, 0.2982623184955963, 0.33015948583670557, 0.30778386098547966, 0.3546774577481552, 0.3434896453225422, 0.3070697452987384, 0.2939776243751488, 0.34372768388478936, 0.25232087598190905, 0.18876457986193762, 0.32325636753154013]",24,250.0,250.0
65,386,z6dzz,0.3062347653869591,0.0381813727837266,55.535763,9.718525,"[0.4008226691042048, 0.25, 0.3679159049360146, 0.3756855575868373, 0.5303930530164533, 0.035877513711151734, 0.5009140767824497, 0.3852833638025594, 0.296617915904936, 0.27513711151736747, 0.023994515539305303, 0.23217550274223034]",12,62.0,270.0
72,255,nzn6mp,0.2904972265586076,0.0352873934296578,55.352714,10.419778,"[0.20437107649383865, 0.24017670309230413, 0.39641943734015345, 0.22459893048128343, 0.24203673564287376, 0.28225993954894213, 0.17089049058358521, 0.24133922343641015, 0.11648453847942339, 0.415252266914671, 0.3994419902348291, 0.42292490118577075, 0.3394559404789584, 0.47779586142757496, 0.27435480120902117, 0.43780516159032784, 0.3289932573820042, 0.3359683794466403, 0.17856312485468495, 0.4282724947686585, 0.20390606835619624, 0.24250174378051617, 0.2962101836782144, 0.25203441060218557, 0.25691699604743085, 0.2397116949546617, 0.1969309462915601, 0.28830504533829343]",28,300.0,300.0
76,118,8zdpp,0.2832443471381524,0.0338171543752067,55.38791,11.361842,"[0.22984931834489356, 0.2276967232719445, 0.24778761061946902, 0.2501793829227458, 0.46998325759387705, 0.17436020090887347, 0.17483855536952883, 0.12030614685481943, 0.09758430997369051, 0.3417842621382444, 0.22817507773259985, 0.2033006457785219, 0.3147572351112174, 0.23941640755800048, 0.3738340110021526, 0.38250790305584825, 0.2939488160727099, 0.28749103085386274, 0.30279837359483375, 0.3149964123415451, 0.2929921071513992, 0.2946663477636929, 0.4187993303037551, 0.3195407797177709, 0.37981344176034443, 0.3934465438890218]",26,150.0,250.0
81,119,8zg52,0.2749791468064824,0.0392513032003207,55.068158,9.360839,"[0.3117254528122021, 0.2023355576739752, 0.4408960915157293, 0.31291706387035273, 0.23141086749285034, 0.19494756911344138, 0.21568160152526217, 0.22163965681601525, 0.30028598665395617, 0.23760724499523356, 0.2785986653956149, 0.3753574833174452, 0.32721639656816015, 0.3317445185891325, 0.2152049571020019, 0.2020972354623451]",16,150.0,150.0
91,147,dne2jp,0.2657657657657657,0.0627568129589846,55.509767,9.767765,"[0.18757218757218758, 0.3051513051513052, 0.21667821667821668, 0.35366135366135365]",4,43.0,50.0
95,387,zee2q,0.2570376368964985,0.0499404959474294,55.536776,9.717684,"[0.19438444924406048, 0.3444924406047516, 0.31533477321814257, 0.0, 0.33659066232356133, 0.3801295896328294]",6,350.0,350.0
97,176,eypyn,0.2539684898929845,0.0382876116971719,56.783309,9.690891,"[0.26254458977407846, 0.38287752675386444, 0.15005945303210463, 0.24684898929845422, 0.12604042806183116, 0.0925089179548157, 0.3288941736028537, 0.33507728894173605, 0.37883472057074913, 0.28109393579072534, 0.3895362663495838, 0.2858501783590963, 0.238525564803805, 0.12152199762187872, 0.16504161712247326, 0.27824019024970276]",16,150.0,150.0
98,338,xdrg7,0.2520271070075757,0.0343270451447424,56.122406,9.173014,"[0.11576704545454546, 0.25804924242424243, 0.3802083333333333, 0.22916666666666666, 0.4109848484848485, 0.16808712121212122, 0.31889204545454547, 0.21401515151515152, 0.23200757575757575, 0.4550189393939394, 0.10108901515151515, 0.18394886363636365, 0.34398674242424243, 0.1337594696969697, 0.2774621212121212, 0.2099905303030303]",16,250.0,250.0
100,93,7w2p9w,0.2463878832165277,0.0444995860279952,55.347721,11.120159,"[0.2931876307835387, 0.265054638456173, 0.26761218321320623, 0.30597535456870495, 0.2945826551964659, 0.028365496396186934, 0.2699372239014183]",7,62.0,270.0
102,111,8ndxk7,0.2432463903120633,0.0969436630139875,55.390728,11.353155,"[0.16557987890079182, 0.32091290172333486]",2,43.0,50.0
104,100,7wmq3r,0.2362627197039778,0.0517959763012761,55.297279,10.840271,"[0.2511563367252544, 0.26595744680851063, 0.2791396854764107, 0.08371877890841813, 0.3013413506012951]",5,75.0,215.0
112,279,qke3nz,0.2201612903225806,0.0920456066136837,55.216359,9.376607,"[0.09032258064516129, 0.35]",2,43.0,50.0
113,132,9ek9ew,0.2199040767386091,0.034553819235918,56.784101,9.695102,"[0.3502158273381295, 0.02302158273381295, 0.29726618705035973, 0.27424460431654674, 0.04201438848920863, 0.33266187050359713]",6,62.0,300.0
114,352,y7ypj,0.2196215293935163,0.0481350621671533,55.06505,9.3663,"[0.3802197802197802, 0.0, 0.34175824175824177, 0.378021978021978, 0.16373626373626374, 0.38571428571428573]",6,350.0,350.0
115,331,x562z8,0.2174763988026709,0.0882873195142504,55.215624,9.371837,"[0.08128022104536035, 0.3536725765599816]",2,43.0,50.0
117,230,mw6eqe,0.2159463831754102,0.0474479194546687,54.948674,11.98818,"[0.2870348971573839, 0.2743240120175641, 0.23988906863877976, 0.04090593944996533, 0.237577998613358]",5,75.0,300.0
118,159,ee9pqp,0.2137022549470777,0.0393611117877794,55.521225,8.548019,"[0.17901518637827887, 0.19098021168890933, 0.21675103543488264, 0.2823285780027612, 0.21974229176254026, 0.20409572020248504, 0.18292682926829268, 0.23377818683847215]",8,300.0,300.0
123,334,x62zj,0.2056852322625375,0.0908322106533384,55.561581,12.229786,"[0.18581003004391033, 0.22556043448116478]",2,75.0,175.0
128,226,mr3ge,0.1980033919210607,0.0429109122664884,55.309395,10.804939,"[0.2555309734513274, 0.3064159292035398, 0.27101769911504425, 0.26327433628318586, 0.24225663716814158, 0.0]",6,350.0,350.0
131,375,yy6gn,0.1955524453774978,0.0403913724173479,56.068124,9.978392,"[0.35920177383592017, 0.1278941565600882, 0.27342888643880925, 0.12458654906284454, 0.2006651884700665, 0.15853658536585366]",6,350.0,350.0
132,21,33gq7y,0.1932542903525046,0.0275643418976173,55.478189,9.87785,"[0.17648423005565864, 0.16117810760667903, 0.1614100185528757, 0.1553803339517625, 0.17509276437847868, 0.23098330241187384, 0.17115027829313545, 0.24605751391465677, 0.20570500927643784, 0.12917439703153988, 0.2625231910946197, 0.22727272727272727, 0.18668831168831168, 0.1760204081632653, 0.19944341372912802, 0.22750463821892394]",16,300.0,300.0
133,287,qpp9jr,0.1931415468000833,0.022200541831551,55.627132,12.624391,"[0.029080675422138838, 0.23287992495309567, 0.19136960600375236, 0.4333958724202627, 0.2553939962476548, 0.05042213883677298, 0.06636960600375234, 0.17706378986866791, 0.3022983114446529]",9,60.0,300.0
134,273,q5wg3e,0.1929548156956004,0.0250235725297294,55.64006,11.830555,"[0.09655172413793103, 0.16837098692033295, 0.19357907253269918, 0.09726516052318668, 0.13460166468489893, 0.19785969084423305, 0.24233055885850177, 0.10011890606420927, 0.13412604042806184, 0.2225921521997622, 0.3110582639714625, 0.40451843043995245, 0.15980975029726516, 0.09155766944114149, 0.1859690844233056, 0.3469678953626635]",16,250.0,250.0
137,166,ejdx2j,0.1893271461716937,0.0733369804418422,56.412393,10.076191,"[0.30324825986078885, 0.07540603248259861]",2,43.0,50.0
138,96,7w9qmp,0.1887058036065831,0.0184944671457367,56.135327,9.006889,"[0.11906449326718639, 0.10252775809118828, 0.15024805102763997, 0.09142452161587526, 0.13253012048192772, 0.11906449326718639, 0.09024332624616112, 0.11646586345381527, 0.15615402787621072, 0.18048665249232224, 0.11268603827072998, 0.16371367824238128, 0.07772265532719112, 0.06354831089062131, 0.09284195605953224, 0.06567446255610677, 0.01700921332388377, 0.2310418143160879, 0.38034490904795654, 0.4304275927238365, 0.38128986534372783, 0.3971178832978975, 0.45334278289629104, 0.40396881644223953]",24,22.0,300.0
140,348,xrx6eq,0.1847466960352423,0.0233954932781582,55.487669,9.845626,"[0.10711801530257362, 0.05147229306747044, 0.2095988870855553, 0.19707859958265708, 0.11708787386969627, 0.1553443079063297, 0.31161604451657776, 0.24646417806631116, 0.1279851611407373, 0.18965916995131, 0.22745188963598423, 0.15024345003477857, 0.2960816137259448, 0.28564804080686296, 0.17876188268026896, 0.10433572919081846]",16,300.0,300.0
141,266,pyd3e,0.1827969437369761,0.0804612813616621,55.560067,12.230918,"[0.1398471868488076, 0.2257467006251447]",2,75.0,175.0
145,92,7px33,0.1783250059481322,0.02904162495047,54.899885,11.89693,"[0.1508446347846776, 0.2636212229359981, 0.12752795622174637, 0.27075898167975254, 0.15203426124197003, 0.1522721865334285, 0.1551272900309303, 0.15441351415655485]",8,125.0,125.0
155,208,k73nd,0.1670392078945625,0.0178743867542806,55.584921,12.257683,"[0.15300546448087432, 0.16923076923076924, 0.18688524590163935, 0.26885245901639343, 0.3092896174863388, 0.18688524590163935, 0.19672131147540983, 0.1945054945054945, 0.12747252747252746, 0.2021978021978022, 0.23169398907103825, 0.16043956043956045]",12,350.0,350.0
160,61,6275k5,0.161819184992512,0.0305596457382296,55.722555,9.570138,"[0.01655237644833294, 0.23835422085599434, 0.23480728304563728, 0.23126034523528022, 0.23953653345944667, 0.010404350910380705]",6,60.0,300.0
164,271,q2erq,0.1581696289367009,0.0353793754038283,56.782908,9.694346,"[0.19444444444444445, 0.21777777777777776, 0.1653631284916201, 0.13555555555555557, 0.26256983240223464, 0.19106145251396647]",6,350.0,350.0
165,15,2jejpm,0.1550764951321279,0.0768035763405066,55.395462,10.188196,"[0.15878535002318034, 0.15136764024107557]",2,150.0,150.0
166,29,39q696,0.152939126394052,0.0307960306881513,55.631338,12.656632,"[0.2158457249070632, 0.012314126394052044, 0.36988847583643125, 0.01370817843866171]",4,50.0,175.0
168,198,jrej3k,0.1513846869909239,0.0233316095078532,56.541577,9.897226,"[0.14638119618338374, 0.20898301140330464, 0.15103560623690948, 0.14219222713521062, 0.14777751919944146, 0.10821503374447289, 0.09425180358389575, 0.16127530835466605, 0.19083081219455433, 0.18594368163835234, 0.11007679776588318, 0.16965324645101235]",12,300.0,300.0
